Stations_id, von_datum,bis_datum,Stationshoehe, geoBreite,geoLaenge ,Stationsname, Bundesland, Abgabe
1,19120101,19860630,478,47.8413,8.8493,Aach,Baden-Württemberg,Frei
2,19510101,20061231,138,50.8066,6.0996,Aachen (Kläranlage),Nordrhein-Westfalen,Frei
3,18910101,20110331,202,50.7827,6.0941,Aachen,Nordrhein-Westfalen,Frei
4,19510101,19791031,243,50.7683,6.1207,Aachen-Brand,Nordrhein-Westfalen,Frei
6,19821101,20241030,455,48.8361,10.0598,Aalen-Unterrombach,Baden-Württemberg,Frei
7,19510101,19960131,473,48.814,10.1285,Aalen-Unterkochen,Baden-Württemberg,Frei
8,19310101,19911231,307,50.2546,8.131,Aarbergen-Panrod,Hessen,Frei
9,19920601,20101231,200,50.2655,8.0516,Aarbergen-Rückershausen,Hessen,Frei
10,19610101,20050831,378,48.8857,12.1079,"Abbach,Bad-Dünzling",Bayern,Frei
12,19410101,20061231,61,52.3814,10.186,Abbensen,Niedersachsen,Frei
13,19910101,20061231,300,51.6154,11.2892,Abberode,Sachsen-Anhalt,Frei
14,19510101,19601230,9,53.5333,7.5,Abelitzmoor,Niedersachsen,Frei
15,19510101,20241001,392,49.2346,10.9667,Abenberg,Bayern,Frei
16,19410101,19991231,370,49.2193,10.8845,Abenberg-Wassermungenau,Bayern,Frei
17,19510101,20091031,380,48.8421,11.8194,Abensberg-Sandharlanden,Bayern,Frei
18,19310101,19651230,420,49.65,7.0833,Abentheuerhütte,Rheinland-Pfalz,Frei
19,19510101,20241030,471,48.8795,9.971,Abtsgmünd-Neubronn,Baden-Württemberg,Frei
20,19410101,20241030,432,48.9219,9.9129,Abtsgmünd-Untergröningen,Baden-Württemberg,Frei
21,18921101,20241030,498,47.6104,9.6981,Achberg-Doberatsweiler,Baden-Württemberg,Frei
22,19510101,20241030,138,48.6317,8.0466,Achern-Fautenbach,Baden-Württemberg,Frei
23,18910501,20241030,8,53.0311,9.0232,Achim-Embsen,Niedersachsen,Frei
24,19310101,19681230,582,47.8333,12.7833,Achthal,Bayern,Frei
25,19510101,19751231,474,48.7667,9.6,Adelberg,Baden-Württemberg,Frei
26,19780101,20061231,41,52.5503,10.0544,Adelheidsdorf,Niedersachsen,Frei
27,19310101,19820630,657,47.8167,12.6167,"Adelholzen, Bad",Bayern,Frei
28,19410101,20021231,470,48.954,10.006,Adelmannsfelden,Baden-Württemberg,Frei
29,20060101,20241030,260,49.7175,10.9101,Adelsdorf (Kläranlage),Bayern,
30,19310101,20061031,260,49.4064,9.3914,Adelsheim,Baden-Württemberg,Frei
31,19510101,19901231,25,53.2833,10.4333,Adendorf,Niedersachsen,Frei
32,19310101,19900630,194,52,9.9333,Adenstedt,Niedersachsen,Frei
33,19510101,20021231,93,52.0286,10.9994,Aderstedt,Sachsen-Anhalt,Frei
34,19410101,19601230,220,49.1667,9.45,Adolzfurt,Baden-Württemberg,Frei
35,19510101,20020630,480,50.312,12.2875,Adorf,Sachsen,Frei
36,19310101,20030430,115,52.0308,9.235,Aerzen-Reher,Niedersachsen,Frei
37,19510101,20051231,470,48.4612,10.9795,Affing,Bayern,Frei
38,18910818,20061231,52,52.09,7.0095,Ahaus (Wieselweg),Nordrhein-Westfalen,Frei
39,19510101,20061231,29,53.0585,9.3092,Ahausen,Niedersachsen,Frei
40,19510101,20030630,5,53.6674,14.1823,Ahlbeck,Mecklenburg-Vorpommern,Frei
41,19410101,20241030,26,52.7356,9.5665,Ahlden-Grethem,Niedersachsen,Frei
42,19710101,20091231,70,51.7736,7.8738,Ahlen in Westfalen,Nordrhein-Westfalen,Frei
43,19310101,19761231,3,53.7,8.7833,Ahlen (Falkenberger Moor),Niedersachsen,Frei
44,19710301,20241030,44,52.9336,8.237,Großenkneten,Niedersachsen,Frei
45,19710101,20001231,298,51.374,9.4042,Ahnatal-Weimar,Hessen,Frei
46,20060101,20241030,325,48.945,12.4639,Aholfing,Bayern,
47,19410101,20131130,338,49.4997,9.5439,Ahorn-Eubigheim,Baden-Württemberg,Frei
48,19780101,20051231,410,49.8364,11.4025,Ahorntal-Kirchahorn,Bayern,Frei
50,19410101,19651230,549,51.85,10.4667,Ahrendsberg,Niedersachsen,Frei
51,19410101,19781231,60,54.0167,10.5667,Ahrensbök,Schleswig-Holstein,Frei
52,19730101,20011231,46,53.6623,10.199,Ahrensburg-Wulfsdorf,Schleswig-Holstein,Frei
53,19690101,20241030,60,52.585,13.5634,Ahrensfelde,Brandenburg,Frei
54,19410101,19870331,5,54.5667,9.0667,Ahrenshöft,Schleswig-Holstein,Frei
55,19510101,20241030,508,47.8778,12.024,"Aibling, Bad-Ellmosen",Bayern,Frei
56,19510101,19741231,444,48.45,11.1333,Aichach,Bayern,Frei
57,19780101,20241030,461,48.4799,11.0521,Hollenbach/Bayern-Schönbach,Bayern,Frei
58,19830701,20031231,623,47.8922,10.0796,Aichstetten,Baden-Württemberg,Frei
59,19510101,20051231,405,48.6929,11.7022,Aiglsbach,Bayern,Frei
60,19780101,20010731,460,48.5032,10.4591,Aislingen,Bayern,Frei
61,19750701,19780831,339,48.8443,12.6171,Aiterhofen,Bayern,Frei
62,19510101,20021231,1018,47.8191,7.8569,Aitern-Untermulten,Baden-Württemberg,Frei
63,19510101,20241030,744,47.8173,10.5376,Aitrang,Bayern,Frei
64,18900801,20241001,55,51.8488,12.0491,Aken/Elbe,Sachsen-Anhalt,Frei
65,19410101,20040531,513,48.1094,12.1049,Albaching,Bayern,Frei
66,19310101,20050430,40,54.15,9.2833,Albersdorf,Schleswig-Holstein,Frei
67,19510101,19701230,511,49.6667,12.3,Albersrieth,Bayern,Frei
68,19720101,19971231,128,51.3015,12.5692,Albrechtshain,Sachsen,Frei
69,19410101,20031231,911,48.2413,8.9329,Albstadt-Burgfelden,Baden-Württemberg,Frei
70,19730601,19860930,712,48.2052,9.0371,Albstadt-Ebingen,Baden-Württemberg,Frei
71,19861101,20191231,759,48.2156,8.9784,Albstadt-Badkap,Baden-Württemberg,Frei
72,19781001,19950531,794,48.2766,9.0001,Albstadt-Onstmettingen,Baden-Württemberg,Frei
73,19310101,20241030,374,48.6183,13.062,Aldersbach-Kramersepp,Bayern,Frei
74,19310101,19681230,428,49.05,10.8667,Alesheim,Bayern,Frei
75,19510101,19861231,486,48.8412,9.7267,Alfdorf,Baden-Württemberg,Frei
76,19870101,20031231,493,48.8354,9.6842,Alfdorf-Pfahlbronn,Baden-Württemberg,Frei
77,19310101,20071031,90,51.9916,9.8191,Alfeld/Leine,Niedersachsen,Frei
78,19610101,20241030,64,52.4853,7.9125,Alfhausen,Niedersachsen,Frei
79,19310101,20241028,160,50.6718,7.0155,Alfter-Volmershoven,Nordrhein-Westfalen,Frei
80,19610101,20041231,195,51.0518,9.6617,Alheim-Heinebach,Hessen,Frei
81,19410101,19991231,378,51.059,8.6521,Allendorf/Eder-Osterfeld,Hessen,Frei
82,19510101,19701230,18,53.0333,9.1833,Allerdorf,Niedersachsen,Frei
83,19690101,20021231,135,52.213,11.1414,Alleringersleben,Sachsen-Anhalt,Frei
84,19510101,20051231,385,49.2507,11.243,Allersberg,Bayern,Frei
85,19690101,20000131,458,51.6765,10.9694,Allrode,Sachsen-Anhalt,Frei
86,19690101,20011231,140,51.3998,11.3889,Allstedt,Sachsen-Anhalt,Frei
87,19470101,20241030,158,51.095,11.0479,Alperstedt,Thüringen,Frei
88,19881201,20031231,400,48.3226,8.3944,Alpirsbach,Baden-Württemberg,Frei
89,19510101,19701230,146,49.7167,7.8167,Alsenz,Rheinland-Pfalz,Frei
91,19781101,20241030,304,50.7446,9.345,Alsfeld-Eifa,Hessen,Frei
92,19310101,19951130,395,50.7638,9.4031,Alsfeld-Lingelbach,Hessen,Frei
93,19710101,19991231,269,50.7691,9.2542,Alsfeld-Reibertenrod,Hessen,Frei
94,19690101,20051231,52,53.3096,11.3133,Alt Krenzlin-Krenzliner Hütte,Mecklenburg-Vorpommern,Frei
95,19690101,20031231,62,52.378,14.2317,Alt Madlitz,Brandenburg,Frei
96,19690101,20241030,50,52.9437,12.8518,Neuruppin-Alt Ruppin,Brandenburg,Frei
97,19840101,20051231,50,52.4275,14.442,Alt Zeschdorf,Brandenburg,Frei
98,18870214,19541231,780,51.189,8.4671,Altastenberg,Nordrhein-Westfalen,Frei
99,19690101,20021231,185,52.0728,11.2475,Altbrandsleben,Sachsen-Anhalt,Frei
100,19520701,20051231,85,51.6504,14.0318,Altdöbern,Brandenburg,Frei
101,19310101,20020531,423,49.3864,11.3705,Altdorf,Bayern,Frei
103,19780101,20241030,364,48.896,12.217,Hagelstadt,Bayern,Frei
104,19610101,20061231,196,51.2856,7.6922,Altena in Westfalen,Nordrhein-Westfalen,Frei
105,19410101,20241030,195,50.4844,6.9711,Ahrbrück,Rheinland-Pfalz,Frei
106,19730101,19960229,500,51.7976,10.4429,Altenau,Niedersachsen,
107,19310101,19810331,460,51.8,10.4333,Altenau (A),Niedersachsen,Frei
108,19610101,19950630,635,51.8333,10.5333,Altenau-Bastesiedlung,Niedersachsen,Frei
109,19610101,19951231,800,51.8012,10.5379,Altenau-Torfhaus/Harz,Niedersachsen,Frei
