station_seqnum,Stations_id,elevation,latitude,longitude,Stationsname,who_entered,source_seqnum,country_seqnum,use_rank
1410001,1,478,47.8413,8.8493,Aach,7,117,203,1
1410002,2,138,50.8066,6.0996,Aachen (Kläranlage),7,117,203,1
1410003,3,202,50.7827,6.0941,Aachen,7,117,203,1
1410004,4,243,50.7683,6.1207,Aachen-Brand,7,117,203,1
1410005,6,455,48.8361,10.0598,Aalen-Unterrombach,7,117,203,1
1410006,7,473,48.814,10.1285,Aalen-Unterkochen,7,117,203,1
1410007,8,307,50.2546,8.131,Aarbergen-Panrod,7,117,203,1
1410008,9,200,50.2655,8.0516,Aarbergen-Rückershausen,7,117,203,1
1410009,10,378,48.8857,12.1079,"Abbach,Bad-Dünzling",7,117,203,1
1410010,12,61,52.3814,10.186,Abbensen,7,117,203,1
1410011,13,300,51.6154,11.2892,Abberode,7,117,203,1
1410012,14,9,53.5333,7.5,Abelitzmoor,7,117,203,1
1410013,15,392,49.2346,10.9667,Abenberg,7,117,203,1
1410014,16,370,49.2193,10.8845,Abenberg-Wassermungenau,7,117,203,1
1410015,17,380,48.8421,11.8194,Abensberg-Sandharlanden,7,117,203,1
1410016,18,420,49.65,7.0833,Abentheuerhütte,7,117,203,1
1410017,19,471,48.8795,9.971,Abtsgmünd-Neubronn,7,117,203,1
1410018,20,432,48.9219,9.9129,Abtsgmünd-Untergröningen,7,117,203,1
1410019,21,498,47.6104,9.6981,Achberg-Doberatsweiler,7,117,203,1
1410020,22,138,48.6317,8.0466,Achern-Fautenbach,7,117,203,1
1410021,23,8,53.0311,9.0232,Achim-Embsen,7,117,203,1
1410022,24,582,47.8333,12.7833,Achthal,7,117,203,1
1410023,25,474,48.7667,9.6,Adelberg,7,117,203,1
1410024,26,41,52.5503,10.0544,Adelheidsdorf,7,117,203,1
1410025,27,657,47.8167,12.6167,"Adelholzen, Bad",7,117,203,1
1410026,28,470,48.954,10.006,Adelmannsfelden,7,117,203,1
1410027,29,260,49.7175,10.9101,Adelsdorf (Kläranlage),7,117,203,1
1410028,30,260,49.4064,9.3914,Adelsheim,7,117,203,1
1410029,31,25,53.2833,10.4333,Adendorf,7,117,203,1
1410030,32,194,52,9.9333,Adenstedt,7,117,203,1
1410031,33,93,52.0286,10.9994,Aderstedt,7,117,203,1
1410032,34,220,49.1667,9.45,Adolzfurt,7,117,203,1
1410033,35,480,50.312,12.2875,Adorf,7,117,203,1
1410034,36,115,52.0308,9.235,Aerzen-Reher,7,117,203,1
1410035,37,470,48.4612,10.9795,Affing,7,117,203,1
1410036,38,52,52.09,7.0095,Ahaus (Wieselweg),7,117,203,1
1410037,39,29,53.0585,9.3092,Ahausen,7,117,203,1
1410038,40,5,53.6674,14.1823,Ahlbeck,7,117,203,1
1410039,41,26,52.7356,9.5665,Ahlden-Grethem,7,117,203,1
1410040,42,70,51.7736,7.8738,Ahlen in Westfalen,7,117,203,1
1410041,43,3,53.7,8.7833,Ahlen (Falkenberger Moor),7,117,203,1
1410042,44,44,52.9336,8.237,Großenkneten,7,117,203,1
1410043,45,298,51.374,9.4042,Ahnatal-Weimar,7,117,203,1
1410044,46,325,48.945,12.4639,Aholfing,7,117,203,1
1410045,47,338,49.4997,9.5439,Ahorn-Eubigheim,7,117,203,1
1410046,48,410,49.8364,11.4025,Ahorntal-Kirchahorn,7,117,203,1
1410047,50,549,51.85,10.4667,Ahrendsberg,7,117,203,1
1410048,51,60,54.0167,10.5667,Ahrensbök,7,117,203,1
1410049,52,46,53.6623,10.199,Ahrensburg-Wulfsdorf,7,117,203,1
1410050,53,60,52.585,13.5634,Ahrensfelde,7,117,203,1
1410051,54,5,54.5667,9.0667,Ahrenshöft,7,117,203,1
1410052,55,508,47.8778,12.024,"Aibling, Bad-Ellmosen",7,117,203,1
1410053,56,444,48.45,11.1333,Aichach,7,117,203,1
1410054,57,461,48.4799,11.0521,Hollenbach/Bayern-Schönbach,7,117,203,1
1410055,58,623,47.8922,10.0796,Aichstetten,7,117,203,1
1410056,59,405,48.6929,11.7022,Aiglsbach,7,117,203,1
1410057,60,460,48.5032,10.4591,Aislingen,7,117,203,1
1410058,61,339,48.8443,12.6171,Aiterhofen,7,117,203,1
1410059,62,1018,47.8191,7.8569,Aitern-Untermulten,7,117,203,1
1410060,63,744,47.8173,10.5376,Aitrang,7,117,203,1
1410061,64,55,51.8488,12.0491,Aken/Elbe,7,117,203,1
1410062,65,513,48.1094,12.1049,Albaching,7,117,203,1
1410063,66,40,54.15,9.2833,Albersdorf,7,117,203,1
1410064,67,511,49.6667,12.3,Albersrieth,7,117,203,1
1410065,68,128,51.3015,12.5692,Albrechtshain,7,117,203,1
1410066,69,911,48.2413,8.9329,Albstadt-Burgfelden,7,117,203,1
1410067,70,712,48.2052,9.0371,Albstadt-Ebingen,7,117,203,1
1410068,71,759,48.2156,8.9784,Albstadt-Badkap,7,117,203,1
1410069,72,794,48.2766,9.0001,Albstadt-Onstmettingen,7,117,203,1
1410070,73,374,48.6183,13.062,Aldersbach-Kramersepp,7,117,203,1
1410071,74,428,49.05,10.8667,Alesheim,7,117,203,1
1410072,75,486,48.8412,9.7267,Alfdorf,7,117,203,1
1410073,76,493,48.8354,9.6842,Alfdorf-Pfahlbronn,7,117,203,1
1410074,77,90,51.9916,9.8191,Alfeld/Leine,7,117,203,1
1410075,78,64,52.4853,7.9125,Alfhausen,7,117,203,1
1410076,79,160,50.6718,7.0155,Alfter-Volmershoven,7,117,203,1
1410077,80,195,51.0518,9.6617,Alheim-Heinebach,7,117,203,1
1410078,81,378,51.059,8.6521,Allendorf/Eder-Osterfeld,7,117,203,1
1410079,82,18,53.0333,9.1833,Allerdorf,7,117,203,1
1410080,83,135,52.213,11.1414,Alleringersleben,7,117,203,1
1410081,84,385,49.2507,11.243,Allersberg,7,117,203,1
1410082,85,458,51.6765,10.9694,Allrode,7,117,203,1
1410083,86,140,51.3998,11.3889,Allstedt,7,117,203,1
1410084,87,158,51.095,11.0479,Alperstedt,7,117,203,1
1410085,88,400,48.3226,8.3944,Alpirsbach,7,117,203,1
1410086,89,146,49.7167,7.8167,Alsenz,7,117,203,1
1410087,91,304,50.7446,9.345,Alsfeld-Eifa,7,117,203,1
1410088,92,395,50.7638,9.4031,Alsfeld-Lingelbach,7,117,203,1
1410089,93,269,50.7691,9.2542,Alsfeld-Reibertenrod,7,117,203,1
1410090,94,52,53.3096,11.3133,Alt Krenzlin-Krenzliner Hütte,7,117,203,1
1410091,95,62,52.378,14.2317,Alt Madlitz,7,117,203,1
1410092,96,50,52.9437,12.8518,Neuruppin-Alt Ruppin,7,117,203,1
1410093,97,50,52.4275,14.442,Alt Zeschdorf,7,117,203,1
1410094,98,780,51.189,8.4671,Altastenberg,7,117,203,1
1410095,99,185,52.0728,11.2475,Altbrandsleben,7,117,203,1
1410096,100,85,51.6504,14.0318,Altdöbern,7,117,203,1
1410097,101,423,49.3864,11.3705,Altdorf,7,117,203,1
1410098,103,364,48.896,12.217,Hagelstadt,7,117,203,1
1410099,104,196,51.2856,7.6922,Altena in Westfalen,7,117,203,1
1410100,105,195,50.4844,6.9711,Ahrbrück,7,117,203,1
1410101,106,500,51.7976,10.4429,Altenau,7,117,203,1
1410102,107,460,51.8,10.4333,Altenau (A),7,117,203,1
1410103,108,635,51.8333,10.5333,Altenau-Bastesiedlung,7,117,203,1
1410104,109,800,51.8012,10.5379,Altenau-Torfhaus/Harz,7,117,203,1
1410105,110,65,52.0487,7.4877,Altenberge,7,117,203,1
1410106,111,300,51.7273,10.9362,Altenbrak,7,117,203,1
1410107,112,430,51.739,10.8965,Altenbrak/Rappbode,7,117,203,1
1410108,113,425,51.7365,10.9569,Altenbrak-Todtenrode,7,117,203,1
1410109,115,353,51.7412,10.919,Altenbrak-Wendefurth,7,117,203,1
1410110,116,213,50.9833,12.4333,Altenburg,7,117,203,1
1410111,117,520,50.5605,10.7179,Altendambach,7,117,203,1
